2022-11-08 10:05:09,626 INFO    MainThread:1756146 [wandb_setup.py:_flush():68] Configure stats pid to 1756146
2022-11-08 10:05:09,627 INFO    MainThread:1756146 [wandb_setup.py:_flush():68] Loading settings from /home/yamanishi/.config/wandb/settings
2022-11-08 10:05:09,627 INFO    MainThread:1756146 [wandb_setup.py:_flush():68] Loading settings from /home/yamanishi/project/trip_recommend/analyzer/wandb/settings
2022-11-08 10:05:09,627 INFO    MainThread:1756146 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-11-08 10:05:09,627 INFO    MainThread:1756146 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'analyzer/graphmask.py', 'program': 'graphmask.py'}
2022-11-08 10:05:09,627 INFO    MainThread:1756146 [wandb_init.py:_log_setup():476] Logging user logs to /home/yamanishi/project/trip_recommend/analyzer/wandb/run-20221108_100509-2p3pnyel/logs/debug.log
2022-11-08 10:05:09,627 INFO    MainThread:1756146 [wandb_init.py:_log_setup():477] Logging internal logs to /home/yamanishi/project/trip_recommend/analyzer/wandb/run-20221108_100509-2p3pnyel/logs/debug-internal.log
2022-11-08 10:05:09,627 INFO    MainThread:1756146 [wandb_init.py:init():516] calling init triggers
2022-11-08 10:05:09,627 INFO    MainThread:1756146 [wandb_init.py:init():520] wandb.init called with sweep_config: {}
config: {'data': {'model_name': 'ResNet', 'multi': False, 'word': True, 'category': False, 'city': False, 'prefecture': False}, 'model': {'gnn_layers': 3, 'hidden_channels': 128, 'out_channels': 1, 'out_dim': 512}, 'training': {'batch_size': 32, 'batch_size_multiplier': 1, 'max_epochs': 50, 'train_split': 'train', 'test_every_n': 1, 'save_path': 'models/qa.model', 'learning_rate': '3e-4'}, 'analysis': {'strategy': 'GraphMask', 'parameters': {'load': False, 'train': True, 'batch_size': 2, 'batch_size_multiplier': 16, 'learning_rate': 0.001, 'epochs_per_layer': 20, 'test_every_n': 1, 'train_split': 'train', 'save_path': '/home/yamanishi/project/trip_recommend/data/analyzer/probe.pth', 'penalty_scaling': 2, 'allowance': 0.03, 'max_allowed_performance_diff': 0.05}}}
2022-11-08 10:05:09,627 INFO    MainThread:1756146 [wandb_init.py:init():569] starting backend
2022-11-08 10:05:09,627 INFO    MainThread:1756146 [wandb_init.py:init():573] setting up manager
2022-11-08 10:05:09,628 INFO    MainThread:1756146 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-08 10:05:09,642 INFO    MainThread:1756146 [wandb_init.py:init():580] backend started and connected
2022-11-08 10:05:09,645 INFO    MainThread:1756146 [wandb_init.py:init():658] updated telemetry
2022-11-08 10:05:10,042 INFO    MainThread:1756146 [wandb_init.py:init():694] communicating run to backend with 60 second timeout
2022-11-08 10:05:10,433 INFO    MainThread:1756146 [wandb_run.py:_on_init():2000] communicating current version
2022-11-08 10:05:10,491 INFO    MainThread:1756146 [wandb_run.py:_on_init():2004] got version response 
2022-11-08 10:05:10,491 INFO    MainThread:1756146 [wandb_init.py:init():728] starting run threads in backend
2022-11-08 10:05:15,526 INFO    MainThread:1756146 [wandb_run.py:_console_start():1980] atexit reg
2022-11-08 10:05:15,526 INFO    MainThread:1756146 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-08 10:05:15,527 INFO    MainThread:1756146 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-08 10:05:15,527 INFO    MainThread:1756146 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-08 10:05:15,527 INFO    MainThread:1756146 [wandb_init.py:init():765] run started, returning control to user process
2022-11-08 12:20:05,681 WARNING MsgRouterThr:1756146 [router.py:message_loop():77] message_loop has been closed
