iter	RMSE
0	0.6332614378
1	0.6229497581
2	0.6161115443
3	0.5991253108
4	0.5944363505
5	0.5872489524
6	0.5793419426
7	0.5754818991
8	0.5693779345
9	0.5643041444
10	0.5571803605
11	0.5525938398
12	0.5469619624
13	0.5416956715
14	0.5352951058
15	0.5294129766
16	0.5234585626
17	0.5183164347
18	0.5133752594
19	0.5087568846
20	0.5035947741
21	0.4990672632
22	0.4931673053
23	0.4889880738
24	0.4838494294
25	0.4788744725
26	0.4737837206
27	0.4690735442
28	0.46403775
29	0.4589909982
30	0.4541834039
31	0.4494921919
32	0.4443300624
33	0.439991956
34	0.4357495817
35	0.43189347
36	0.4280687531
37	0.4236742773
38	0.4190024521
39	0.4157376805
40	0.4121025608
41	0.4077598796
42	0.404006501
43	0.3993428627
44	0.3957369691
45	0.3921753699
46	0.3889968438
47	0.3850800531
48	0.3816172015
49	0.3785733219
50	0.3744797906
51	0.3705077558
52	0.3667789061
53	0.3630822162
54	0.3597444583
55	0.3566609263
56	0.3535274949
57	0.3505646582
58	0.347481825
59	0.3441992673
60	0.3412901521
61	0.3384649471
62	0.3363459461
63	0.3337055302
64	0.3308185626
65	0.3278311812
66	0.3252211599
67	0.3227036348
68	0.3194853755
69	0.3170942807
70	0.3151293883
71	0.3130208893
72	0.3098785586
73	0.3072308911
74	0.3050365597
75	0.3020189516
76	0.2996406763
77	0.2974382534
78	0.2947796053
79	0.292836009
80	0.2900722273
81	0.2873750735
82	0.2850715362
83	0.2828003235
84	0.2803306839
85	0.2782724693
86	0.2762035175
87	0.2742844199
88	0.2722188753
89	0.2703923463
90	0.2683260096
91	0.2666556799
92	0.2642744147
93	0.2620556117
94	0.2597560353
95	0.2578531492
96	0.2564650058
97	0.2546061931
98	0.2530891946
99	0.2510436294
100	0.2489470558
101	0.2466847103
102	0.2444165044
103	0.242395029
104	0.2404546412
105	0.2391042847
106	0.2372181999
107	0.2353369851
108	0.2332302028
109	0.2313215014
110	0.2296624045
111	0.2283131595
112	0.2267108572
113	0.2254401821
114	0.2238615029
115	0.2227925376
116	0.2209035731
117	0.2192232725
118	0.2173826242
119	0.2155779461
120	0.2139402797
121	0.2123572575
122	0.2106125863
123	0.2091049584
124	0.2075362698
125	0.2062403517
126	0.2048656838
127	0.2036884523
128	0.2022488608
129	0.2007222101
130	0.1996015824
131	0.1983363946
132	0.1973131211
133	0.1961384271
134	0.1950019829
135	0.1936879629
136	0.192878665
137	0.1918301743
138	0.1906536251
139	0.1894721181
140	0.1880434954
141	0.1868987165
142	0.1856824008
143	0.184570489
144	0.1830851753
145	0.1817563635
146	0.1804172216
147	0.1793111618
148	0.1776190358
149	0.1767296124
150	0.1758285891
151	0.1748034687
152	0.1736554352
153	0.1728814529
154	0.171796334
155	0.1705067659
156	0.1697209795
157	0.1687939769
158	0.16810685
159	0.1674541734
160	0.1666958635
161	0.1656043247
162	0.1645939679
163	0.163732629
164	0.1628970933
165	0.1621303611
166	0.1612597989
167	0.1603464943
168	0.1595041665
169	0.158552993
170	0.1577561047
171	0.1568170535
172	0.1562296092
173	0.1554146356
174	0.1546524338
175	0.153700176
176	0.1528730634
177	0.1522868979
178	0.1514372057
179	0.150787065
180	0.1499008111
181	0.1490668498
182	0.148450111
183	0.1475465073
184	0.1467346283
185	0.1460948762
186	0.1453820701
187	0.144910489
188	0.144387775
189	0.1437022137
190	0.1427430891
191	0.1420065717
192	0.1411285129
193	0.1404233594
194	0.1398533149
195	0.1392935738
196	0.1384513858
197	0.1377055876
198	0.1371627805
199	0.1364885901
200	0.1359504834
201	0.1355416304
202	0.1350357908
203	0.1345458191
204	0.1340261202
205	0.1333365549
206	0.1328855733
207	0.1323781829
208	0.1318456443
209	0.1312452311
210	0.1308314811
211	0.130333921
212	0.1297440765
213	0.129328409
214	0.1289235355
215	0.1284012877
216	0.1279149193
217	0.1275109061
218	0.1270375372
219	0.1265693799
220	0.126124237
221	0.1255267689
222	0.1250407965
223	0.124680969
224	0.1242622474
225	0.1237365348
226	0.1233763663
227	0.12302515
228	0.1225735174
229	0.122233641
230	0.1219388504
231	0.1214850071
232	0.121043924
233	0.1207470838
234	0.1204566119
235	0.1200993838
236	0.1198434005
237	0.1195890674
238	0.1192992587
239	0.1189396171
240	0.1183344377
241	0.1179367337
242	0.1175725979
243	0.1169847305
244	0.1165594157
245	0.1163264894
246	0.115979334
247	0.1156544228
248	0.1153708646
249	0.1149314239
250	0.1145817701
251	0.11418032
252	0.1139585177
253	0.1136223793
254	0.1132010353
255	0.1129098216
256	0.1121993777
257	0.1114591525
258	0.1111532049
259	0.1108696179
260	0.1106159005
261	0.1103597686
262	0.1100785439
263	0.1098545627
264	0.1095849452
265	0.1091274246
266	0.108939189
267	0.1087230383
268	0.1083999173
269	0.1081378321
270	0.1079235007
271	0.1077237226
272	0.107507171
273	0.1072814764
274	0.1065362876
275	0.1062979526
276	0.1060843609
277	0.1058196156
278	0.105606636
279	0.1053554696
280	0.1051989227
281	0.1046966447
282	0.1043548037
283	0.1039620457
284	0.1037983753
285	0.1035339843
286	0.1030865254
287	0.1028456623
288	0.1026506607
289	0.1024074828
290	0.1021837905
291	0.101999987
292	0.1017725747
293	0.1015199619
294	0.10131683
295	0.1010027888
296	0.1007572072
297	0.10060532
298	0.1003174523
299	0.1001726166
300	0.09970117013
301	0.09955838662
302	0.09932725197
303	0.0991381679
304	0.09887640864
305	0.0986935527
306	0.09851874538
307	0.09834340473
308	0.0981904572
309	0.09799596366
310	0.0978333379
311	0.09764965404
312	0.09738896831
313	0.09722709563
314	0.09708487415
315	0.09692195655
316	0.09677192315
317	0.096319588
318	0.09598878317
319	0.09581706348
320	0.0956115478
321	0.09548352313
322	0.09529352093
323	0.09516735221
324	0.09500169627
325	0.09479908748
326	0.09463416451
327	0.09449239987
328	0.09415217948
329	0.09394664288
330	0.09382755597
331	0.09366348748
332	0.09352509482
333	0.09338328513
334	0.09322187259
335	0.09310861717
336	0.09299842109
337	0.09280030399
338	0.09269154641
339	0.09249637988
340	0.09237406176
341	0.09219136926
342	0.09208563278
343	0.09199897335
344	0.09188264444
345	0.09166187903
346	0.09150149969
347	0.09136797302
348	0.09125177773
349	0.09116974117
350	0.09108058726
351	0.09098375787
352	0.09082725123
353	0.09069061273
354	0.09060278527
355	0.09044235517
356	0.09034884756
357	0.09023590997
358	0.09014150384
359	0.09005106118
360	0.08990302029
361	0.08968674942
362	0.08959341038
363	0.08949553266
364	0.08938760963
365	0.08930468788
366	0.0892192603
367	0.0891475882
368	0.08898073818
369	0.08885227052
370	0.08872410235
371	0.0882964581
372	0.08824720549
373	0.08816973938
374	0.08811360576
375	0.08800999723
376	0.08782235911
377	0.08775705194
378	0.08760367247
379	0.08752404898
380	0.08739348888
381	0.08731996212
382	0.08714933952
383	0.08709708918
384	0.08701285338
385	0.08687296111
386	0.08680377564
387	0.08668486919
388	0.08657575371
389	0.08648666096
390	0.08640668538
391	0.08633328309
392	0.08624858269
393	0.08614795318
394	0.08603018985
395	0.08596324074
396	0.08583650638
397	0.08568635895
398	0.08556066875
399	0.08549128432
400	0.08543209127
401	0.08535965453
402	0.08530619274
403	0.08509785905
404	0.08488282575
405	0.08465126705
406	0.08442277372
407	0.08433023833
408	0.08422919353
409	0.08417085001
410	0.08410567258
411	0.08403413212
412	0.08397687961
413	0.08393403314
414	0.08389109026
415	0.08383154507
416	0.08375567484
417	0.08370562354
418	0.08363884768
419	0.0835889994
420	0.08349684157
421	0.08342943279
422	0.08334210167
423	0.08328213786
424	0.08322971938
425	0.08318227492
426	0.08315706395
427	0.08311520299
428	0.08307264452
429	0.08295072537
430	0.08285849186
431	0.08280679252
432	0.08275468318
433	0.08269700015
434	0.08265024372
435	0.08261028865
436	0.08256386301
437	0.08251903323
438	0.08246107742
439	0.08237549567
440	0.08230077964
441	0.08225505529
442	0.08221474617
443	0.08216577215
444	0.08211276831
445	0.08204719993
446	0.0820074293
447	0.08192563419
448	0.08186925474
449	0.08171112899
450	0.08159630793
451	0.0815618476
452	0.08151743379
453	0.0814760541
454	0.08141588048
455	0.08138080916
456	0.08131515566
457	0.08127663888
458	0.0811546472
459	0.08112713729
460	0.08108886039
461	0.08106046787
462	0.0810039073
463	0.0809689228
464	0.08093137796
465	0.08086275398
466	0.08082713427
467	0.08080549634
468	0.08070876157
469	0.08066543994
470	0.080623364
471	0.08055360262
472	0.08050212064
473	0.08044417242
474	0.0804104724
475	0.08036426018
476	0.08031073737
477	0.08027418256
478	0.08024481283
479	0.08019678383
480	0.08014893816
481	0.0800525593
482	0.07999160169
483	0.079950845
484	0.07983032622
485	0.07980828303
486	0.07976575656
487	0.07974169931
488	0.07970685677
489	0.07967593997
490	0.07965401669
491	0.0796055175
492	0.07954060574
493	0.07951133121
494	0.07948184937
495	0.07942709698
496	0.07940136928
497	0.07936941374
498	0.07933140808
499	0.07931216236
500	0.07928892232
501	0.07924787636
502	0.07922446148
503	0.07920060258
504	0.07918307777
505	0.07915409203
506	0.07912968799
507	0.07910819187
508	0.0790916717
509	0.07906405517
510	0.07903982445
511	0.07899723669
512	0.07897500578
513	0.07891479383
514	0.07887389545
515	0.07885011897
516	0.07882417286
517	0.0788079475
518	0.07876828684
519	0.07874850767
520	0.07871458473
521	0.07868319508
522	0.07866381622
523	0.07864626876
524	0.07862050066
525	0.07859437807
526	0.07856652379
527	0.07854623415
528	0.07851218819
529	0.07849295734
530	0.078461666
531	0.07844192166
532	0.07841702625
533	0.07839967633
534	0.07838110908
535	0.07836406155
536	0.07834667952
537	0.07830680905
538	0.07826249087
539	0.07823799017
540	0.07819908898
541	0.07816951293
542	0.07815613662
543	0.07813570465
544	0.07811903332
545	0.0781014467
546	0.07807228888
547	0.07803355256
548	0.07800779871
549	0.07799717732
550	0.07797232347
551	0.07795568772
552	0.07793353598
553	0.07792033426
554	0.0779078086
555	0.07789769356
556	0.07784313406
557	0.07781390994
558	0.07778368571
559	0.07775477385
560	0.07773396441
561	0.07771939715
562	0.07769804057
563	0.07768459284
564	0.07766086964
565	0.07764604001
566	0.07763300353
567	0.07762259028
568	0.0776090763
569	0.07759220728
570	0.07757316486
571	0.07755380059
572	0.07754294034
573	0.07752960677
574	0.07751259955
575	0.07750145233
576	0.07742180816
577	0.07741027645
578	0.07740147908
579	0.07739293558
580	0.07737896207
581	0.07736008974
582	0.07734863461
583	0.077340716
584	0.07732985741
585	0.0773063389
586	0.07729814666
587	0.07728601522
588	0.07727774727
589	0.07726664934
590	0.07725913172
591	0.07724821844
592	0.07722907467
593	0.07722112649
594	0.07720570302
595	0.07718167985
596	0.0771707886
597	0.07716325197
598	0.07715125173
599	0.07713586083
600	0.0771244289
601	0.07711526954
602	0.07710287252
603	0.07708201072
604	0.07707405797
605	0.07706225177
606	0.07705496704
607	0.07703420906
608	0.07699715948
609	0.0769823678
610	0.0769375609
611	0.07692074317
612	0.07690661101
613	0.07688121518
614	0.07687398188
615	0.07685663456
616	0.07684905714
617	0.0768384585
618	0.07681788154
619	0.07680294552
620	0.07679482592
621	0.07678867862
622	0.07676933671
623	0.07676017107
624	0.07675308367
625	0.07674687851
626	0.07674107691
627	0.07671958819
628	0.07671131532
629	0.07670168817
630	0.07669501107
631	0.0766880052
632	0.07668343525
633	0.07667745206
634	0.07667050988
635	0.07666254387
636	0.07665500729
637	0.07664494732
638	0.0766391001
639	0.07662712983
640	0.0766159049
641	0.076610107
642	0.07660364841
643	0.07659878648
644	0.0765912837
645	0.07658529164
646	0.07656933078
647	0.07656028844
648	0.07655088181
649	0.07654713439
650	0.07653827308
651	0.07652568449
652	0.07651548774
653	0.07649574811
654	0.07648149926
655	0.07647417741
656	0.07646823811
657	0.07646416189
658	0.07645865188
659	0.0764518227
660	0.07644598871
661	0.07644031913
662	0.07643424484
663	0.07642899704
664	0.07642371444
665	0.07641862824
666	0.07641455313
667	0.07641091815
668	0.07640242857
669	0.07639029325
670	0.07637521666
671	0.07637130358
672	0.07636748584
673	0.07636302927
674	0.07635720104
675	0.07635232585
676	0.07633069533
677	0.07632280987
678	0.07631932577
679	0.0763150053
680	0.07631072705
681	0.07630709636
682	0.07630211159
683	0.07629796401
684	0.07629510158
685	0.07628671888
686	0.07628359683
687	0.07627833121
688	0.07626987977
689	0.07626728635
690	0.07626042228
691	0.07625452627
692	0.07624802372
693	0.07624535604
694	0.07623654539
695	0.07622856418
696	0.07621831872
697	0.07621348268
698	0.07620781655
699	0.07620288108
700	0.07619797598
701	0.07619353441
702	0.07618776017
703	0.07618360618
704	0.07617945938
705	0.07617681664
706	0.07616956787
707	0.07616455224
708	0.07615968897
709	0.07615586485
710	0.07615299566
711	0.07614988984
712	0.07614363729
713	0.0761375402
714	0.07613390772
715	0.07613139109
716	0.07612668801
717	0.07612304685
718	0.07611795817
719	0.07611246491
720	0.07609298083
721	0.07608843095
722	0.07608602688
723	0.07608155452
724	0.07607909408
725	0.07607324609
726	0.07606944471
727	0.07605875752
728	0.07605447435
729	0.07604710647
730	0.07603790057
731	0.076034667
732	0.07602953542
733	0.07602108626
734	0.07601232
735	0.07600889044
736	0.07600132859
737	0.07599861622
738	0.0759964453
739	0.07599411523
740	0.0759883075
741	0.07598536963
742	0.07598180999
743	0.07597911101
744	0.07597474303
745	0.07597093244
746	0.07596782938
747	0.07596508944
748	0.07596228911
749	0.07595831928
750	0.07595315731
751	0.07595057786
752	0.07594759653
753	0.07594367147
754	0.07593983342
755	0.07593543543
756	0.07593289647
757	0.07592916087
758	0.07592715713
759	0.07591861489
760	0.07591480782
761	0.0759097494
762	0.07590735813
763	0.07590527845
764	0.07590208394
765	0.07589911183
766	0.07589733745
767	0.07589341147
768	0.07588744223
769	0.07588563831
770	0.07588207032
771	0.07587953451
772	0.07587766197
773	0.07587233934
774	0.07586385295
775	0.07585595624
776	0.07585193017
777	0.07584964364
778	0.07584630977
779	0.07584305275
780	0.07584116045
781	0.07583717262
782	0.07583534406
783	0.07583352829
784	0.07583178707
785	0.07582723747
786	0.0758253471
787	0.07582385837
788	0.0758212549
789	0.07581763763
790	0.07581552082
791	0.07581280239
792	0.0758093715
793	0.0758079259
794	0.0758039597
795	0.07580117169
796	0.07579884362
797	0.07579627868
798	0.07579019181
799	0.07578848574
800	0.07578708624
801	0.07578401216
802	0.07578237839
803	0.0757794823
