iter	Passed	Remaining
0	62	62135
1	69	34726
2	77	25592
3	84	21006
4	91	18125
5	97	16230
6	105	14899
7	112	13970
8	120	13273
9	128	12684
10	135	12190
11	143	11783
12	152	11597
13	173	12186
14	180	11834
15	187	11525
16	194	11246
17	201	11000
18	208	10764
19	215	10550
20	222	10352
21	228	10163
22	235	9991
23	241	9829
24	248	9681
25	254	9541
26	261	9408
27	267	9283
28	273	9164
29	280	9057
30	286	8950
31	292	8849
32	298	8760
33	305	8670
34	311	8584
35	317	8506
36	323	8426
37	330	8355
38	336	8294
39	342	8227
40	349	8164
41	355	8106
42	361	8052
43	368	7999
44	374	7946
45	380	7889
46	386	7835
47	392	7786
48	399	7747
49	405	7702
50	413	7698
51	419	7654
52	426	7619
53	432	7579
54	438	7541
55	444	7499
56	451	7463
57	457	7427
58	463	7394
59	470	7366
60	476	7334
61	482	7302
62	489	7273
63	495	7241
64	501	7211
65	507	7186
66	513	7156
67	520	7129
68	526	7102
69	532	7075
70	539	7055
71	545	7027
72	551	7005
73	557	6979
74	563	6954
75	570	6931
76	577	6916
77	583	6896
78	589	6877
79	595	6853
80	602	6833
81	608	6810
82	614	6790
83	620	6769
84	627	6751
85	633	6731
86	639	6713
87	645	6693
88	652	6675
89	658	6662
90	665	6643
91	671	6624
92	677	6608
93	683	6591
94	690	6576
95	696	6559
96	702	6541
97	708	6524
98	714	6506
99	721	6490
100	730	6504
101	737	6492
102	743	6478
103	750	6462
104	756	6446
105	762	6428
106	768	6413
107	774	6399
108	781	6386
109	787	6371
110	793	6357
111	799	6342
112	806	6328
113	812	6312
114	818	6298
115	824	6283
116	830	6269
117	837	6257
118	843	6245
119	849	6232
120	855	6217
121	862	6205
122	868	6191
123	874	6179
124	880	6166
125	887	6153
126	893	6140
127	899	6126
128	905	6112
129	911	6099
130	917	6086
131	923	6074
132	929	6061
133	936	6050
134	942	6038
135	948	6026
136	954	6014
137	960	6002
138	967	5990
139	973	5979
140	979	5967
141	985	5956
142	991	5944
143	998	5934
144	1004	5924
145	1010	5912
146	1017	5902
147	1023	5892
148	1029	5880
149	1035	5870
150	1042	5859
151	1048	5848
152	1054	5838
153	1060	5828
154	1067	5818
155	1073	5808
156	1079	5797
157	1086	5788
158	1092	5779
159	1098	5767
160	1104	5756
161	1110	5746
162	1117	5736
163	1123	5728
164	1130	5718
165	1136	5711
166	1143	5703
167	1149	5693
168	1156	5685
169	1162	5676
170	1169	5669
171	1175	5659
172	1182	5651
173	1188	5641
174	1194	5631
175	1200	5620
176	1206	5611
177	1213	5602
178	1219	5593
179	1225	5584
180	1232	5575
181	1238	5567
182	1244	5558
183	1251	5549
184	1257	5540
185	1263	5530
186	1270	5522
187	1276	5513
188	1282	5503
189	1288	5494
190	1297	5496
191	1304	5488
192	1310	5481
193	1317	5472
194	1323	5463
195	1329	5454
196	1336	5446
197	1342	5437
198	1348	5428
199	1355	5420
200	1361	5412
201	1367	5403
202	1373	5394
203	1380	5387
204	1386	5377
205	1393	5369
206	1399	5361
207	1406	5353
208	1412	5344
209	1418	5336
210	1424	5327
211	1431	5320
212	1437	5312
213	1444	5304
214	1450	5295
215	1456	5287
216	1463	5279
217	1469	5270
218	1475	5261
219	1481	5252
220	1488	5245
221	1494	5236
222	1500	5228
223	1506	5220
224	1513	5213
225	1519	5204
226	1525	5195
227	1532	5188
228	1538	5180
229	1544	5171
230	1551	5163
231	1557	5155
232	1563	5147
233	1569	5138
234	1576	5130
235	1582	5122
236	1588	5114
237	1594	5105
238	1600	5097
239	1607	5088
240	1613	5081
241	1619	5073
242	1626	5065
243	1632	5057
244	1639	5050
245	1645	5042
246	1651	5035
247	1657	5026
248	1664	5018
249	1670	5012
250	1677	5004
251	1683	4997
252	1689	4989
253	1696	4982
254	1702	4974
255	1709	4966
256	1715	4958
257	1721	4950
258	1727	4942
259	1733	4934
260	1739	4926
261	1746	4918
262	1752	4910
263	1758	4902
264	1764	4894
265	1770	4886
266	1777	4878
267	1783	4871
268	1789	4864
269	1796	4855
270	1802	4847
271	1808	4840
272	1814	4833
