cor, best_epoch, model, layer_num, hidden_chanel, word, category, city, pref, station, spot
0.79957,20,deeptour,1,128,True,False,False,False,False,False
0.81,72,deeptour,3,128,True,False,False,False,False,False
0.80777,82,deeptour,3,128,True,False,False,False,False,False
0.81832,39,deeptour,3,512,True,True,True,False,True,False
0.82154,32,deeptour,3,512,True,True,True,False,True,False
0.81595,35,deeptour,3,512,True,True,True,False,True,False
0.82105,33,deeptour,3,768,True,True,True,False,True,False
0.822,33,deeptour,3,1024,True,True,True,False,True,False
0.81827,37,deeptour,3,512,True,True,True,False,True,False
0.72235,45,deeptour,3,512,True,True,True,False,True,False
0.72139,45,deeptour,3,512,True,True,True,False,True,False
0.81529,39,deeptour,3,512,True,True,True,False,True,False
0.81672,37,deeptour,3,512,True,True,True,False,True,False
0.81041,52,deeptour,3,256,True,True,True,False,True,False
0.81377,50,deeptour,3,256,True,True,True,False,True,False
0.81416,55,deeptour,3,256,True,True,True,False,True,False
0.81637,29,deeptour,3,512,True,True,True,False,True,False
0.81531,52,deeptour,3,512,True,True,True,False,True,False
0.81715,33,deeptour,3,512,True,True,True,False,True,False
0.81692,36,deeptour,3,512,True,True,True,False,True,False
0.81481,35,deeptour,3,512,True,True,True,False,True,False
0.81316,32,deeptour,3,512,True,True,True,False,True,False
0.82067,40,deeptour,3,512,True,True,True,False,True,False
0.81973,36,deeptour,3,512,True,True,True,False,True,False
0.82017,38,deeptour,3,512,True,True,True,False,True,False
0.81732,44,deeptour,3,512,True,True,True,False,True,False
0.81888,33,deeptour,3,512,True,True,True,False,True,False
0.81756,42,deeptour,3,512,True,True,True,False,True,False
0.81356,42,deeptour,3,512,True,True,True,False,True,False
0.8173,35,deeptour,3,512,True,True,True,False,True,False
0.81941,33,deeptour,3,512,True,True,True,False,True,False
0.81344,30,deeptour,3,512,True,True,True,False,True,False
0.81356,30,deeptour,3,512,True,True,True,False,True,False
0.81519,32,deeptour,3,512,True,True,True,False,True,False
0.81794,38,deeptour,3,512,True,True,True,False,True,False
0.81828,32,deeptour,3,512,True,True,True,False,True,False
0.81533,41,deeptour,3,512,True,True,True,False,True,False
0.81971,41,deeptour,3,512,True,True,True,False,True,False
0.8198,52,deeptour,3,512,True,True,True,False,True,False
0.81796,41,deeptour,3,512,True,True,True,False,False,False
0.81583,36,deeptour,3,512,True,True,True,False,False,False
0.81704,29,deeptour,3,512,True,True,False,False,False,False
0.81795,37,deeptour,3,512,True,False,True,False,True,False
0.81878,38,deeptour,3,512,True,False,True,False,True,False
0.82001,45,deeptour,3,512,True,False,True,False,False,False
0.82053,53,deeptour,3,512,True,False,True,False,False,False
0.81425,30,deeptour,3,512,True,False,False,False,False,False
0.52329,41,deeptour,3,512,False,True,True,False,True,False
0.5241,37,deeptour,3,512,False,True,True,False,True,False
0.51409,47,deeptour,3,512,False,True,True,False,False,False
0.51681,44,deeptour,3,512,False,True,True,False,False,False
0.50444,37,deeptour,3,512,False,True,False,False,False,False
0.47658,69,deeptour,3,512,False,False,True,False,True,False
0.45927,52,deeptour,3,512,False,False,True,False,True,False
0.46428,70,deeptour,3,512,False,False,True,False,False,False
0.45942,53,deeptour,3,512,False,False,True,False,False,False
0.81121,43,deeptour,3,512,True,True,True,False,True,50
0.81101,34,deeptour,3,512,True,True,True,False,True,200
0.80765,48,deeptour,3,512,True,True,True,True,True,False
0.82285,37,deeptour,3,512,True,True,True,False,True,False
0.80983,33,deeptour,3,512,True,True,True,True,False,False
0.8199,40,deeptour,3,512,True,True,True,False,False,False
0.81697,28,deeptour,3,512,True,True,False,False,False,False
0.81794,48,deeptour,3,512,True,False,True,True,True,False
0.82213,42,deeptour,3,512,True,False,True,False,True,False
0.81358,44,deeptour,3,512,True,False,True,True,False,False
0.82209,41,deeptour,3,512,True,False,True,False,False,False
0.815,32,deeptour,3,512,True,False,False,False,False,False
0.51982,36,deeptour,3,512,False,True,True,True,True,False
0.52785,38,deeptour,3,512,False,True,True,False,True,False
0.51509,42,deeptour,3,512,False,True,True,True,False,False
0.51686,43,deeptour,3,512,False,True,True,False,False,False
0.49133,36,deeptour,3,512,False,True,False,False,False,False
0.45624,46,deeptour,3,512,False,False,True,True,True,False
0.4681,57,deeptour,3,512,False,False,True,False,True,False
0.45288,40,deeptour,3,512,False,False,True,True,False,False
0.45247,65,deeptour,3,512,False,False,True,False,False,False
0.81282,36,deeptour,3,512,True,True,True,True,True,False
0.81383,45,deeptour,3,512,True,True,True,True,True,False
0.8202,47,deeptour,3,512,True,True,True,True,True,False
0.8184,38,deeptour,3,512,True,True,True,False,True,False
0.82222,36,deeptour,3,512,True,True,True,False,True,False
